2026-08-03 18:30:14.835: [INFO] CurrentProfilePath: C:\Users\Kevcs\.gemini\antigravity\scratch\thoughtica-mobile\scratch\edge-profile-1785781814289\Default
2026-08-03 18:30:14.835: [INFO] Profiles total count: 1
2026-08-03 18:30:14.835: [INFO] Profile: name=Profile 1 path=C:\Users\Kevcs\.gemini\antigravity\scratch\thoughtica-mobile\scratch\edge-profile-1785781814289\Default lastActive=null
2026-08-03 18:30:14.835: [INFO] LastUsedProfileDir: C:\Users\Kevcs\.gemini\antigravity\scratch\thoughtica-mobile\scratch\edge-profile-1785781814289\Default
2026-08-03 18:30:14.835: [INFO] VisibilityChanged: 0
2026-08-03 18:30:14.858: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:14.861: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:14.864: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:14.868: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:14.871: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:14.874: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:14.877: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:14.879: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:14.880: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:14.882: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:14.903: [INFO] OnDoneLoading sync enabled: 0
2026-08-03 18:30:14.903: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-08-03 18:30:14.903: [INFO] BookmarksLoadDropped droppedNodes=0
2026-08-03 18:30:14.903: [INFO] BookmarksSnapshot Startup total=0 bar=0 other=0 mobile=0 showBar=0 showBarNTP=1
2026-08-03 18:30:14.908: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:16.052: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-08-03 18:30:16.060: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-08-03 18:30:16.064: [INFO] Primary account changed.
2026-08-03 18:30:16.064: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-08-03 18:30:16.076: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-08-03 18:30:16.098: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-08-03 18:30:24.060: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.061: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.062: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.062: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.063: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.064: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.065: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.066: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.067: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.067: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.068: [INFO] BookmarkNodeAdded, ABU: 0
2026-08-03 18:30:24.069: [INFO] BookmarkNodeAdded, ABU: 0
